"","klasifikasi","score","text"
"533","Positif",1,"aasi yg memudahkan dlm alanan"
"534","Netral",0,"a dah cekin  aasi dah berhasil giliran samotel kamar dah h parah ni aasi"
"535","Netral",0," membantu"
"536","Netral",0,"ok"
"537","Netral",0,"good"
"538","Netral",0,""
"539","Positif",1,"memudahkan mencari tiket an"
"540","Negatif",-1,"traveloka h kasih  user ater  bayar tewaktu  nonaktifkan  gara covid  mei  kecewa   ga  aktifin lg"
"541","Netral",0,"terimakasih"
"542","Positif",1,"alhamdulillah memudah  qu bertamasya keliling kota ha ha ha ha thx travelloka"
"543","Positif",5," gold rity  lg  inum bonus layanan rity bantuan yg  janjikan  sesuai  lelet disaat  butuh priority bonus  sesuai yg dihara"
"544","Netral",0,"mantanar deh"
"545","Netral",0," membantu"
"546","Netral",0,"i like traveloka"
"547","Positif",1,"keren"
"548","Netral",0," membantu"
"549","Netral",0,"cakep"
"550","Netral",0,"very good"
"551","Netral",0,"wadidaw"
"552","Netral",0,"hahahahahahahhaaahhha"
"553","Positif",1,"bagus"
"554","Netral",0,"top"
"555","Netral",0,"nice"
"556","Netral",0," aasi  murah traveloka kenaang mahal  travelokapayah"
"557","Netral",0,"sy   aasi "
"558","Netral",0," membantu "
"559","Netral",0,"mantap"
"560","Positif",1,"lumayan"
"561","Netral",0,"hmm "
"562","Positif",1,"bagus"
"563","Positif",1,"traveloka ater ng the best  memudahkan"
"564","Netral",0,""
"565","Netral",0,"mantap"
"566","Positif",1,"bagus  cepet"
"567","Positif",2,"lumayan bagus"
"568","Netral",0,"akses mudah"
"569","Positif",1,"mudah hemat  gam sukses  traveloka"
"570","Netral",0,""
"571","Netral",0,"tanebab level jd turun  booking ina transasi sdh "
"572","Netral",0," membantu"
"573","Netral",0," n rental mobil taaya  sambandara halim extrans rentcar n   yg jembahkan   konfirmasi    bayar tolong  "
"574","Positif",1,"  rekomendasi"
"575","Netral",0,"semoga ater   aktifkan kembalihanya  aktivitas mencurigakan   yg dirugikantanemberitahuan atiba  nonaktifkansudah coba comntkun   tangguhkanhal transaksi bagus   leveltalau  ditangguhkan tangasih  nunggu beberaari  gimanaya binggung gimana nunggunyakecuali  gak bayar  gkun dibekukantaya  bayar   lik traveloka  membantu  "
"576","Netral",0,"mantap"
"577","Netral",0,""
"578","Positif",1,"mantab"
"579","Positif",1,"sanan  mudah  nyaman"
"580","Positif",1,"walausedikit  mahal tadah tejamin keamanan  kualitas nya thanks traveloka"
"581","Netral",0,"traveloka is the best "
"582","Positif",1,"ok banget"
"583","Netral",0," membantu"
"584","Netral",0," membantu"
"585","Positif",1,"bagus"
"586","Netral",0,"ok"
"587","Netral",0,""
"588","Netral",0,"josss"
"589","Netral",0,"aasi nya gak    atter sumnyesel download  a"
"590","Netral",0," cekoneksinya"
"591","Positif",1," celbh aman  bs refund"
"592","Netral",0,"makasih "
"593","Netral",0,"mantap"
"594","Positif",1,"mudah cepat"
"595","Netral",0," bagus kinerjanya tkali mengecewakan   kurangi bintangnya"
"596","Netral",0,"ok"
"597","Netral",0," memuaskan"
"598","Netral",0,"bgus"
"599","Negatif",-5,"kenaa traveloka  booking tiket kereta sisa   keduluan orang  tai list   ga ilang  udah diambil orang "
"600","Netral",0,"kereeeen"
"601","Netral",0,"seringada o  menarik  negeri   negeri aemoga travwloka  jaya  de"
"602","Netral",0,"layanan cememuaskan"
"603","Negatif",-1,"mudah cari tiket wat  mudah  metode ayarannya"
"604","Negatif",-2,"traveloka yg    dlu  baguscedan ga ribetcuman kali   kecewa  harga tiket yg  tulis beda  klik  byar harga kenaerubahterima kasih"
"605","Netral",0,"gak "
"606","Netral",0," "
"607","Negatif",-1,"   dihkan  sanan tiket bus  travel su    tamnnya samseribu han pusing memilihnya"
"608","Positif",1,"bagus"
"609","Netral",0,"mantaoool"
"610","Positif",1,"mantan cepat"
"611","Positif",1,"mantangat mendukung"
"612","Netral",0,"ok"
"613","Netral",0,"ive tried all the features on traveloka and everything is very easy to use good job"
"614","Positif",1,"bagus"
"615","Netral",0,"the best aor staycation and traveling "
"616","Negatif",-2,"kacau  ga  tl  via chat taaat  chat no resmakin h traveloka yanannya mentang   sahaan ternama  sei   kualitas yanan   aasi sebelah"
"617","Netral",0,"good job traveloka such a best afor travel "
"618","Netral",0,"ok"
"619","Netral",0,"tiket murah  aasi teraya"
"620","Netral",0,"menyenangkan"
"621","Positif",1,"u referensi kosan  verifikasi ather yg cepat"
"622","Netral",0,"mantap"
"623","Netral",0,"aasi traveloka tonget   membantu "
"624","Positif",3,"traveloka  membantu mencari jadwal rbangan hotel sesuai keuangan  terima kasih traveloka"
"625","Netral",0,"good luck"
"626","Positif",2,"terima kasih  membantu"
"627","Netral",0,"good"
"628","Netral",0," yaran nya kayak aii"
"629","Netral",0,"taq somad tlh membantu"
"630","Netral",0,"ahus relatif ceyanan"
"631","Positif",1,"alhamdulillah mudah"
"632","Negatif",-1," membatu"
"633","Netral",0,"ok"
"634","Netral",0,""
"635","Negatif",-2,"ressangat lambat  udah bayar tiket tagak   voucher nyaaasi  lambat resdan bertele tele"
"636","Netral",0,"oke"
"637","Netral",0,"good"
"638","Netral",0,"more o"
"639","Netral",0," membantu"
"640","Netral",0,"mantap"
"641","Positif",1,"traveloka maju "
"642","Positif",1,"bagus"
"643","Netral",0,"ok"
"644","Positif",2,"ahirnyasayadan jugatrka emng enak liburan suasana yg indah wuu"
"645","Netral",0,"mantaaaa"
"646","Netral",0,"nice app"
"647","Netral",0,"ceyanannya"
"648","Netral",0," membantu tks traveloka"
"649","Negatif",-1,"mudah  sanan ka  pt nya daftar nya susah  diudahbintang    coba boarding  tiket kl sdh  bibtang "
"650","Netral",0,"yanan cejoss taraveloka"
"651","Netral",0,"   teraya"
"652","Positif",1,"paylaternya  membantu banget  sanan tiket wat sm booking hotel "
"653","Netral",0,"ok"
"654","Positif",1,"mantaas banget tiali terbang i belinya tiket d traveloka"
"655","Positif",1,"keren"
"656","Netral",0,"mantap"
"657","Netral",0,"    membantu terimakasih traveloka"
"658","Positif",1,"bagus"
"659","Netral",0,"diskon kebanyakan transaksi diatas rb     c tanin transaksi"
"660","Negatif",-1,"iklan mengganggu"
"661","Negatif",-2,"menebar kebencian rasis"
"662","Negatif",-1,"gak ribet lancar transaksi anbelanja"
"663","Netral",0,"everything is so much easier with traveloka"
"664","Positif",1," bagus"
"665","Positif",1,"lumayan "
"666","Positif",1,"bagus"
"667","Netral",0,"wewewewewe"
"668","Netral",0,"menyenangkan"
"669","Negatif",-1,"lemot"
"670","Negatif",-1,"     aktifitas  ater ater  diblokir anenanehga     terusala   aktifitasya   diturunkan  limit ng dasarsaya  meng aktifkan ater  kebutuhan mendadakgiliran   eh diblokiral  bayar tewaktutidak ah telatah  t dicurigaisehingga  blokir anenlebih  ah aasi sebelah deh"
"671","Netral",0,"mantap"
"672","Netral",0,"best ner for traveling "
"673","Netral",0,"simand easy to use "
"674","Negatif",-2," kn aneh ya kmrn tgl  nov cek tiket bis sdh  smdgn  desember knr tgl  des cek   smgl  des ya"
"675","Netral",0,"cukuas"
"676","Netral",0,"the os made my holiday har and easier "
"677","Positif",1,"bagus"
"678","Positif",1," traveloka knk n makanan gk "
"679","Netral",0,"trimakasih"
"680","Netral",0,"mantah traveloka"
"681","Positif",1,"keren"
"682","Netral",0,"good"
"683","Netral",0,"traveloka is the best"
"684","Netral",0,"beres"
"685","Negatif",-1,"kadang membantu  urusan mendadak yaebijakan refund bikin tersedak  traveloka  lemkaya pssi  lib"
"686","Positif",2,"coba kasih  bintang "
"687","Positif",5,"mengerikan  traveloka  membeli tiket  paylater traveloka  membatalkan sanan  berhasil  refund  biaya cicilan tetarjalan  yg  tolong hati krn meskitiket berhasil  refund   tetasuruh bayar biaya cicilan sungguh  adil  refund tiada  krn  tetayar cicilan tuk tiket yg tdk    cs  bayar cicilan  berhasil refund traveloka sungguh amazing ya cari duit gak gini  kali"
"688","Netral",0," membantu n hotel tiket dll  mudah    ater     membantu "
"689","Netral",0,"your cg us to come from"
"690","Netral",0," mantap"
"691","Netral",0,"habis ue  limitnya  turun aneh   gak telat bayar"
"692","Netral",0,"ok"
"693","Netral",0,"oke"
"694","Netral",0,"ok"
"695","Netral",0,"hrg  berubah  ayaran"
"696","Positif",2,"  iklan  lemoot   ue  maaf  turun bintang"
"697","Netral",0,"best"
"698","Netral",0,"terimakasih"
"699","Netral",0,"iyolah"
"700","Netral",0,"cemudah hemat  murah"
"701","Positif",2,"ssh transaksi nya gan semoga jadwal nya tdk berubah  harga nya  stabil"
"702","Positif",1,"ok banget"
"703","Netral",0,"trimakasih traveloka  membantu   alanan  kota   gam  ce  n tiket"
"704","Negatif",-1," sanan tiket kai lebaran koneksi diaiki   mengecewakan ngganthanks"
"705","Positif",1," bagus yanan traveloka"
"706","Netral",0,"menyenangkan"
"707","Netral",0,"oke"
"708","Netral",0,""
"709","Negatif",-2,"dasar traveloka jelek"
"710","Netral",0," menguntungkan"
"711","Netral",0,"aasi ga  yg acc refund ag dtng dana nya "
"712","Netral",0,"mantap"
"713","Netral",0,"goodlah"
"714","Netral",0,"traveloka  memuaskan"
"715","Netral",0,"semoga berkah"
"716","Netral",0,"madep"
"717","Netral",0,"cedan "
"718","Positif",1,"mudah   tawaran diskonnya"
"719","Netral",0,"mudah"
"720","Netral",0,"pait cuuuy berbulan  buka tutuk    ngecek ah  o diskon utk bayar pln pdam bpjs internet pbb dll  kaga   kaloada  onya tibang   kartu kredit heelloooow   user   kredit card ya beib  kasih o kek  user yg bayar tagihannya i saldo uangku  transfer bank  alhasil sy slalu bayar tagihan bulanan  so toaja yg rutin kasi o  onya gak gede  seeeh bye deh"
"721","Positif",2," membantu leyan bintang yg berbicara"
"722","Netral",0,""
"723","Netral",0,"traveloka is the best"
"724","Negatif",-1,"  engahan  kaya gini n makan  tv taenu eats nya   ilangin  orng kerja mager kalo  libur  minggu skli  jalan gmna  ani  udah biar gk kluar bli mkn taenu eats nya  ilangin"
"725","Negatif",-1," bagu traveloka  ksini  h yanannya jugamana t nya  berat d kumn tl nya ga ramah"
"726","Netral",0,"yanan crpat"
"727","Netral",0,"hooooo"
"728","Netral",0,"traveloka  mengecewakan masuk jam o  mw  voucher auto sistem gangguan  bikin o kalo ga bs d  ga  ku rekomendasi   orng  deh  aasi asli sih ga  banget  o voucher"
"729","Netral",0,"terimakasih"
"730","Netral",0,"if you want quick gateaway just otraveloka"
"731","Netral",0,"asik"
"732","Negatif",-1,"tolong  k traveloka  yg menangani ater utk ketentuan batasan usia tolong  tinjau     yg umurnya      taereka sanggumbayar cicilan tolong atiannya"
"733","Netral",0,"ok"
"734","Netral",0,"so many ent method ided by traveloka make it transaction easier "
"735","Netral",0,"oke "
"736","Netral",0,"makyusss"
"737","Netral",0,"good"
"738","Netral",0,"the features on traveloka are very easy to use good job traveloka"
"739","Netral",0,"traveloka   membantu"
"740","Netral",0,"nice anice e "
"741","Netral",0,"pelayanan ce memuaskan"
"742","Positif",1," memudahkan  alanan"
"743","Negatif",-3,"kecewa  komn gak  klaim voucher aja samberjam jam gak selesai selesai samdinsuruh nunggu  x jam "
"744","Netral",0,"aasi  membantu"
"745","Netral",0,"nice"
"746","Negatif",-1,"udah searena  trik  merugikan konsumen"
"747","Netral",0,"cedan "
"748","Netral",0," memuaskan"
"749","Netral",0,"bagusss"
"750","Positif",1," terbaik"
"751","Netral",0,"ok"
"752","Netral",0,"cedan "
"753","Netral",0," membantu "
"754","Netral",0,"good "
"755","Netral",0,"oke"
"756","Netral",0,"beli tiket  traveloka  "
"757","Negatif",-1,"mantama   bingung  ayaran bca oneklik   ama"
"758","Netral",0,"    konsumen traveloka  tetaeberaaktu    sanan tiket bus  e tiket  terbit  ayaran  sesuai   transfer ayaran   melewati estimasi batas  ayaran keluhan   ajukan  customer service    solusi kejelasannya terkait  e tiket  yg  terbit    reskejelasan  customer service terkait kendala yg "
"759","Netral",0,"easy ess"
"760","Positif",1,"bagus"
"761","Netral",0,"nice service"
"762","Netral",0,"tetaus aasi traveloka"
"763","Negatif",-1,"aasi jelek sumsusah"
"764","Netral",0,"good"
"765","Netral",0,"  ue tiket  aasi traveloka"
"766","Negatif",-1,"  ue ko menu eats nya ga "
"767","Positif",1," memudahkan transaksi"
"768","Positif",1,"bagus"
"769","Negatif",-1,"cedan mudah  ribet  mendaan tiket"
"770","Netral",0,"mntap"
"771","Netral",0," ing"
"772","Netral",0,"  tadah kecewa sm ani fitur reschedule  berguna tera  reschedule direct via maska  batal berangkat  alasan sakit taroses refund berbelit  data reschedule via maskatidak terrecord dlm aitambah aturan maskayg berbelit utk refund dana booking  keren ya traveloka note gak  resulasan "
"773","Negatif",-1," ambil foto   ulang"
"774","Positif",2,"terima kasih"
"775","Netral",0,"racism"
"776","Negatif",-2," kecewa      aasi    setiaya mencari jadwal rbangan diaasi    rbangan  transit   rbangan langsung taetika   bantuan dg  aasi orang   aasi   didahulukan rbangan langsung        kecewa  ikan    aasi     jadwal rbangan yg langsung tanransit  "
"777","Positif",1,"keren bangettt  terbantu   nya atter nya"
"778","Netral",0,"aampah"
"779","Negatif",-1," n hotel  status nya udah berhasil  status ganti otomatis jd menunggu human error aasi taak  solusi udah lacall center nunggu  menit sam kali  menit tk  aksi setian call center  bertele  berbeda hati kawan dgn aasi nya mending  aasi sebelah gak   download"
"780","Netral",0," mudah mencari wat  hotrl"
"781","Netral",0,"terimakasih"
"782","Netral",0,"nicee"
"783","Netral",0,"mantap"
"784","Netral",0,"mudah"
"785","Netral",0," error"
"786","Netral",0,"mantabb"
"787","Netral",0," mudah berkendara terimakasih traveloka"
"788","Netral",0," ng   discount nga "
"789","Positif",2," kasih bintang  karna limit ater da jt tbisa   alasannya  keamanan"
"790","Netral",0,"ok"
"791","Netral",0,"okay"
"792","Positif",1,"cepat"
"793","Netral",0," "
"794","Positif",2,"terima kasih traveloka aasi   membantu "
"795","Positif",1,"es nya cedan semoga amanah  gak mengecewakan coustamer"
"796","Netral",0,"oke"
"797","Netral",0,"ok"
"798","Negatif",-1," nggan setia   traveloka mengudara cuman saran    tiket bus  tiadakan  karna beberaali  n tiket bus  delay    jam ag      titik  keberangkatan bus  rute bus bandungpalembang     bandar lam udh  delay ngbrol  orang po alasan     estimasi kondisi dijalan  memambat so kl gak   aiki mending  hilangkan fitur tiket bus"
"799","Netral",0,"click to download    download   umur   "
"800","Netral",0,"nice"
"801","Netral",0,"ucc rvg j yg v ex"
"802","Netral",0,""
"803","Netral",0,"  update  aneh payleternya   beli roti cake    makanan    gk  pakai trus ngapain  tambahin limitnya klw gk  pakai   gk  telat bayar   jatuh tempo"
"804","Positif",1,"terbaik"
"805","Netral",0," tagihan dialihkan  danamas total tagihan  nambah  nambahnya ngga   tagihan  ribuan  alasan denda berjalan  jutaan denda   maksimal   mah  melebihi"
"806","Netral",0,"membantu "
"807","Positif",1," bagus"
"808","Netral",0,"ok mntap"
"809","Netral",0,"pesan travel jadwal berangkat   jam   dijemkayak taiii emang "
"810","Positif",1,"bayar atter lancar trusga ah telatth menurun limitnyabukannya  mlh menurunaneh nih traveloka sekaranggue ksh bintang biar bs dibaca"
"811","Netral",0," "
"812","Positif",1,"mantab"
"813","Netral",0,"mantap"
"814","Netral",0,"coba "
"815","Positif",1,"bagus"
"816","Netral",0,"nice    membantu ku"
"817","Positif",1,"udah   langganan   samevel inum ng tingginya tngajuan ater  ditolak   kasih bintang   komen gini t  tanggasaya ksh bintang   ga  tanggaoklah kl   ksh bintang  kl ga  tanggajg santai bnyk aasi    "
"818","Netral",0,"aanck"
"819","Netral",0,"memuaskan"
"820","Netral",0,"aasi nya baikt sei abal  uyk aternya   hi  yaratan datamlh  tolakmohon jgn  data sy utk keingan  sy uninstal tq"
"821","Positif",1,"aasi terbaik"
"822","Netral",0,"good services"
"823","Netral",0,"hmmm its not good"
"824","Netral",0,"good"
"825","Netral",0,"ok"
"826","Netral",0,""
"827","Netral",0,"bisalah"
"828","Netral",0,"r"
"829","Positif",1,"mudah  cepat"
"830","Positif",1,"terbaik"
"831","Negatif",-2,"udah ga  berng  traveloka akses mudah ga bikin ribet"
"832","Netral",0,"cukumuaskan"
"833","Netral",0,"virtual number   diaktifkan error"
"834","Netral",0," "
"835","Netral",0,"ayaran   ovo godll"
"836","Positif",1,"bagus"
"837","Netral",0," memuaskan"
"838","Netral",0,"nggak ah bingung kalo  n tiket wat   traveloka memudahkan ku  beli tiket wat   beian"
"839","Netral",0,"great jobs"
"840","Netral",0,"top"
"841","Netral",0,"mumtaz"
"842","Negatif",-1,"aasi wajib     staycation ya traveloka "
"843","Netral",0,"az az    az pikirin   az pikirin  pikirin   "
"844","Netral",0,"refund terllu lamaudh sya tungguin      eh   tunda maksudanya gmna  uang loh tolong  kejelasanya   y hrs     tunda gini ga "
"845","Positif",1,"traveloka  fiturnya  banget  keuan travelingbutuh aayak tinggal buka traveloka aja"
"846","Positif",1,"pelayanan terbaik  setiatel   ditraveloka mantep"
"847","Netral",0,"udah i traveloka   bulanansering banget adain o  hoteltiket wattiket kereta dllseringsering ya kasih onya traveloka"
"848","Netral",0,"aasi bagusz zz x"
"849","Netral",0," memuaskan"
"850","Netral",0,"mantap"
"851","Netral",0,""
"852","Netral",0," mudah"
"853","Positif",3," membantu nan tiket  dadakan  direncanakancuman reifan nya aja yg dijanjikan uang   tdk dikembalikan"
"854","Netral",0,"cedan mudah yanannya"
"855","Positif",1,"keren good luck traveloka"
"856","Netral",0,""
"857","Netral",0,"iklanmu "
"858","Netral",0,"siiiiiiiip"
"859","Netral",0,"coba cek daftar bank  refound  bank aneh ndak  bni mandiri bri  bank bank  lazim digunakankacau"
"860","Netral",0,"mantap"
"861","Netral",0,"ok"
"862","Netral",0,"ok"
"863","Netral",0,"kenao gk  n tiket kalaut"
"864","Positif",1,"memudahkan alanan sya"
"865","Netral",0,"good job thanks"
"866","Netral",0,"mantap"
"867","Negatif",-1,"manta salah h   tedjo beken"
"868","Negatif",-1,"koq ga  han eatnya lg skrg"
"869","Netral",0,"ok"
"870","Positif",1,"nyaman  teraya "
"871","Netral",0,"pakai ater  membantu"
"872","Netral",0,""
"873","Netral",0,"mantul"
"874","Netral",0,"mantap"
"875","Positif",1,"ok gam cepat"
"876","Netral",0,"ynb"
"877","Netral",0,"excellent"
"878","Netral",0,"mantap"
"879","Netral",0,"mantaap"
"880","Negatif",-2,"mengecewakan point ater turun  tiari  gak ah telat bayar n kamar hotel    cicilan   tenor ang taoint turun tiari  cs  gak memuaskan tim analis ater gak becus mengecewakan"
"881","Positif",3,"kecewa banget udah booking  saldo udah  tarik taiket g diterbitkan  tlaveloka centre   suruh tunggu dlm mnt ntah samke mnt manalah raan    l wib  l wib  tunggu g jg dakeian   yg  disuruh kirim nama tgl booking bukti transfert koran yg  sekian kali  g  rugi r  tgl  juli  t rugi tiket ferry batammalaysia uang g jg dikembalikan"
"882","Netral",0,"sewa mobil  aasi  driver   menjemdengan alasan kendaraan mengalami    elesaian    k aator  dana   teralokasi   refund sekedar     si   user  lemah "
"883","Netral",0,"mantaa"
"884","Positif",2,"uang ayaran sisa driver traveloka eats   bayar   driver travelokakasihan driver kerja uang   bayarkan  driverkorupt woi"
"885","Netral",0,"ceyanannya"
"886","Netral",0,""
"887","Netral",0," esional  menangani asalahan"
"888","Netral",0,"  hati"
"889","Netral",0,"meringan   dibutuhkanthanks"
"890","Netral",0,"byk diskontks traveloka"
"891","Positif",1,"  senang i traveloka  membantu   yg beian "
"892","Netral",0,"aasinya burik"
"893","Netral",0," "
"894","Positif",1,"yanan bagus"
"895","Positif",1,"alhamdulillah  mudah  traveloka tanibet          "
"896","Netral",0,"banyakin ngan tiaansaksi "
"897","Positif",1,"bagus"
"898","Netral",0,"ok"
"899","Positif",1,"beli tiket  traveloka mudah  cepat"
"900","Positif",4,"sebenernya bagus si traveloka  n tiket wat atauhotel oke oke aja taang  heran kenaistem eatsmakanan dihaya   ngebantu  banget tolong  k traveloka kembalikan sistem eats nya terimakasih  kasih bintang  ya"
"901","Netral",0,"mudah  simpel"
"902","Netral",0,"buneaguj"
"903","Netral",0,""
"904","Netral",0,"semoga   lagii"
"905","Positif",1,"alhamdulillah  membantu  ecekan tiket wat tarif hotel dll    memirakan budget alanan trimakasih traveloka semoga  berkembang   layanan terbaiknya"
"906","Netral",0,"semoga traveloka  membantu"
"907","Netral",0,"sungguh   sayangkan  nyari hotel buru  masuk ker travelio alhasil  nunggu check in  jam  samjam  anak  istri  terlantar  nungguin check in yg ngga i ka   n oyo mending traveloka  join  travelio  kasama travelio   habis  ribu  tagga   refund    a bukti   viralin  ngga  beda  bisnis haram nga  sei "
"908","Netral",0,"good"
"909","Netral",0,"harga   terooosssss"
"910","Netral",0,"transaksi ceditanggapi"
"911","Netral",0,"cemantarenn"
"912","Netral",0,"barokallah"
"913","Negatif",-3,"aasi ga  ama harga hotel  n k  selesai  oesan  liat kamar  hotel  jenis yg   k   aasi ga berbobot"
"914","Netral",0,"mantap"
"915","Netral",0,"mantap"
"916","Netral",0,""
"917","Negatif",-3," kecewa rbangan   batalkan  temen  ndak  ndak mengisi asuransi atalan bener bener kecewa uang   merantau habis    bener bener kecewa semoga tuhan  balas"
"918","Netral",0,"oke"
"919","Netral",0,"mantap"
"920","Netral",0,"ok"
"921","Netral",0,"mantap"
"922","Positif",1," memudahkan"
"923","Netral",0,"belinya gam"
"924","Netral",0,"ok"
"925","Negatif",-1,"gak  bgt traveloka point turun   gak ah telat bayar  beli mendadak"
"926","Netral",0,"come on  move on bro "
"927","Negatif",-2,"anti ribet ribet club kalo  traveloka"
"928","Negatif",-1,"simtis  gak repot   tinggal pilih klik bayar terbang"
"929","Netral",0," membantu"
"930","Netral",0,"memudah alanan "
"931","Netral",0,"mantaktisceya"
"932","Netral",0,"good"
"933","Positif",1," mengesankan  good"
"934","Negatif",-2,"aasi buruk  yg   rbangan   kode booking  salah  refund  da  ayoooo uninstall rame"
"935","Negatif",-2," heran  traveloka letangan menghabegitu  driver traveloka eats  bangkrut si bangkrut  taak gitu  matiin driver   exs driver traveloka eats mutasi   shoatau grab  kasihan korban traveloka   awas aasi  kagak bertanggung "
"936","Negatif",-1,"tolong utk oyo aurilia   tambahan tarif ya kitabsdh    kyk gitu"
"937","Netral",0,"traveloka  membantu   kendala yg  hadaerkait  transaksi terimakasih traveloka   customer   timnya so d of you all thank you so much "
"938","Positif",3,"refund tiket  yatolong  jgn kayak   tetasuruh byrgak banget deh traveloka sekaranghati  teman traveloka ater bilang  es taohong besarbohong  bilang udah ketemu solusinya taasih zonkhati deh klo  diganti tiket  tiketnya gak  dihadeuuh zonkkk"
"939","Netral",0," memuaskan"
"940","Netral",0,"ok"
"941","Netral",0," mudah  membantu"
"942","Netral",0,"memmudah"
"943","Netral",0,"pemesanan tiket cedan lancar"
"944","Netral",0,"god job"
"945","Netral",0," membantu alanan kamicatatan  i bahasa indonesia"
"946","Positif",1,"aasinya bagus mudah utk    membantu"
"947","Positif",1,"bagus"
"948","Netral",0,"mantapp"
"949","Negatif",-1,"es ce salah masukan nominal ayaranah nominal yg salah  sdh trlanjur dibayar  "
"950","Netral",0," "
"951","Positif",1,"aasi bagus"
"952","Positif",1,"bagus"
"953","Netral",0,"good job"
"954","Netral",0,"yi kovsyblbkďeu bakhcbv"
"955","Negatif",-1,"   tagihan letter ya   i  "
"956","Netral",0,"satelit "
"957","Netral",0,"aasi gak  udah cancel dadakan duitnya gak langsung dbalikinmerugikan "
"958","Netral",0,"i quit"
"959","Positif",1,"yanannya bagus"
"960","Netral",0,"andalanku"
"961","Netral",0,"mantap"
"962","Netral",0,"aasi ngak berguna"
"963","Netral",0,"layanan mudah  cpat"
"964","Netral",0,"  install nggak  deh   kasih bintang   nilainya jelek nih aasi  issu miring"
"965","Netral",0,"good"
"966","Netral",0,"mudahcepet"
"967","Netral",0,"traveloka eats kya  lgi"
"968","Positif",1,"bagus"
"969","Netral",0," membantu dlm aktivitas sanan hotel  alanan"
"970","Netral",0,"tolong  d aiki    ktdahal sdh   kth bratus kali  tetalangnya    sdh   gimna  tolong d "
"971","Netral",0,""
"972","Netral",0,"jadwal wat ku jakarta"
"973","Positif",1,"ok banget"
"974","Negatif",-1,"kecewa  ater    ha pdahal udh  acc jt  sekli nya mw k   ajuan lgjd mls yaa jd  haaj"
"975","Positif",1,"memudahkan alanan "
"976","Netral",0," membantu"
"977","Netral",0,"good job"
"978","Netral",0,"mantal in"
"979","Netral",0,"mudah"
"980","Netral",0,"mudah ja"
"981","Negatif",-2,"  jarang i ater langsung diblock     aktifkan  lucu   a data  trus  block   krn jarang i orang liburan  ga setiaat  ing    i   bayar tewaktu  ga masuk akal"
"982","Negatif",-1,"sumsaya kecewa  yanan tanolusi   cs online chat  emailnya  ketidaknyamanan   alami  edaan kebijakan khusus dibagian krl saran   user yg    elian tiket kai  website resminya kai    ue"
"983","Netral",0,"gak bagus masak cek keberangkatan bus kereta at gak  temu kn aasi jlek"
"984","Positif",1,"bagus"
"985","Netral",0,"ok"
"986","Netral",0,"good"
"987","Positif",1,"simayaran  alfamart  ramah yanannya"
"988","Positif",1,"  memakai jasa aasi  trimksih traveloka  er  keayaan nya sukses "
"989","Netral",0," kaleng"
"990","Netral",0,"good acation"
"991","Positif",1,"simdan cepat"
"992","Positif",1,"memudahkan booking hotel  wat"
"993","Positif",2,"es cepat"
"994","Positif",1,"walk out  traka  membahagiakan   nilainilai   jari langsung  ananda sukarlan  keren "
"995","Netral",0,"oln mm mm"
"996","Netral",0," memuaskan  aasi traveloka "
"997","Netral",0,"ok"
"998","Netral",0,"good"
"999","Netral",0,"bo ds z"
"1000","Netral",0,"ok"
"1001","Netral",0,"okeeee"
"1002","Netral",0,""
"1003","Positif",1,"mudah   nyaman"
"1004","Netral",0," "
"1005","Netral",0,"mantatiket murah"
"1006","Netral",0,"جيد جدا"
"1007","Netral",0,"mantap"
"1008","Netral",0,"  biaya tambahan nya bingung"
"1009","Positif",1," download gak  masuk"
"1010","Netral",0,"bagusss"
"1011","Positif",1," tukar t  makanan ah onya  habis "
"1012","Netral",0," membantu  tis ngga ribeut"
"1013","Positif",1,"   cepat"
"1014","Positif",1,"sorry gw uninstall gara  masukan biaya asuransi  gak  klaim dikantor"
"1015","Negatif",-1,"  omong doang otw  wkwkw"
"1016","Positif",2,"tega sisa uang driver  dikembalikan"
"1017","Netral",0,"bgus bgt"
"1018","Positif",1," tetagus  bermanfaat"
"1019","Positif",1,"nyaman"
"1020","Positif",1,"senang  traveloka"
"1021","Positif",1,"aasi yg memudahkan traveler"
"1022","Netral",0," "
"1023","Netral",0," membantu sdh berlangganan cukuma dgn traveloka sukses "
"1024","Positif",1,"terbaik"
"1025","Netral",0,"asu"
"1026","Netral",0,"gooddd"
"1027","Netral",0,"informatif data  disaman  aasi cukutail"
"1028","Positif",2,"tolong hadata   coba registrasi  laternya   ambil data  tolong  disalah  data  terima kasih"
"1029","Positif",1," berharalalu terbaik"
"1030","Netral",0,"aasi   membantu"
"1031","Negatif",-2," susah  n hotel   kartu keridit  ribet aja  aasi"
"1032","Netral",0,"good apk"
"1033","Netral",0,"beli tiket wat  bandara   kursi"
"1034","Netral",0," membantu"
"1035","Positif",1,"sim mantab "
"1036","Netral",0,"good"
"1037","Netral",0,"  gk  comment"
"1038","Netral",0," suka  aasi   memesegalanya "
"1039","Netral",0,"lwowawa"
"1040","Netral",0,"traveloka emang jagonya"
"1041","Netral",0,""
"1042","Netral",0,"mantap"
"1043","Positif",1,"jelek  maksud menjatuhkan tpi  h banget   ayaran tpi  aasih status ing   tunggu jam stelan   diresitu jga gk ad solusi  jdi tunggu lgi bw mobil samtujuan hotel jga blm selesai tle cust service resnya    tunggu menit lgi    team nya lelet"
